Extracto,Estado,"Importe extracto (USD)","Nombre de la campaña","Nombre de la página","Tipo de resultado",Resultados,"Costo por resultado","Importe gastado (USD)"
"1 jun. 2026, 2:20 p. m.",Error,628.14,"TUASESOR 270526",Tuasesorrm,Conversaciones,13379,0.003893,52.08
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,6340,0.007229,45.83
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: �� ¡Eleva el nivel de tu...","Rossana Migliore (inferido)",Conversaciones,9168,0.006819,62.52
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: ¿El lienzo en blanco...","Rossana Migliore (inferido)",Conversaciones,13164,0.004268,56.19
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: ¿Listo para elevar tu...","Rossana Migliore (inferido)",Conversaciones,14625,0.005035,73.64
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: �� ¡EL LUGAR DONDE TU...","Rossana Migliore (inferido)",Conversaciones,15414,0.005107,78.72
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,3221,0.006315,20.34
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,7783,0.006073,47.27
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación de Instagram: ¡El nuevo hogar de tu...","Rossana Migliore (inferido)",Conversaciones,16903,0.003807,64.35
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación: ""�� Lujo, Vistas y Exclusividad en Punta Pacífico ��","Realtors RM",Conversaciones,65620,0.001397,91.65
"1 jun. 2026, 2:20 p. m.",Error,628.14,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,5699,0.006238,35.55
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"TUASESOR 270526",Tuasesorrm,Conversaciones,13379,0.003893,52.08
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,6340,0.007229,45.83
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: �� ¡Eleva el nivel de tu...","Rossana Migliore (inferido)",Conversaciones,9168,0.006819,62.52
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: ¿El lienzo en blanco...","Rossana Migliore (inferido)",Conversaciones,13164,0.004268,56.19
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: ¿Listo para elevar tu...","Rossana Migliore (inferido)",Conversaciones,14625,0.005035,73.64
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: �� ¡EL LUGAR DONDE TU...","Rossana Migliore (inferido)",Conversaciones,15414,0.005107,78.72
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,3221,0.006315,20.34
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,7783,0.006073,47.27
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación de Instagram: ¡El nuevo hogar de tu...","Rossana Migliore (inferido)",Conversaciones,16903,0.003807,64.35
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación: ""�� Lujo, Vistas y Exclusividad en Punta Pacífico ��","Realtors RM",Conversaciones,65620,0.001397,91.65
"1 jun. 2026, 2:22 p. m.",Pagado,628.14,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,5699,0.006238,35.55
"2 jun. 2026, 7:30 a. m.",Error,335.90,"TUASESOR 270526",Tuasesorrm,Conversaciones,85656,0.001852,158.60
"2 jun. 2026, 7:30 a. m.",Error,335.90,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,2848,0.006208,17.68
"2 jun. 2026, 7:30 a. m.",Error,335.90,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,15948,0.003550,56.62
"2 jun. 2026, 7:30 a. m.",Error,335.90,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,7847,0.004260,33.43
"2 jun. 2026, 7:30 a. m.",Error,335.90,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,16763,0.004150,69.57
"2 jun. 2026, 7:31 a. m.",Error,335.90,"TUASESOR 270526",Tuasesorrm,Conversaciones,85656,0.001852,158.60
"2 jun. 2026, 7:31 a. m.",Error,335.90,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,2848,0.006208,17.68
"2 jun. 2026, 7:31 a. m.",Error,335.90,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,15948,0.003550,56.62
"2 jun. 2026, 7:31 a. m.",Error,335.90,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,7847,0.004260,33.43
"2 jun. 2026, 7:31 a. m.",Error,335.90,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,16763,0.004150,69.57
"2 jun. 2026, 7:46 a. m.",Error,41.99,"TUASESOR 270526",Tuasesorrm,Conversaciones,12452,0.000634,7.89
"2 jun. 2026, 7:46 a. m.",Error,41.99,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,413,0.011017,4.55
"2 jun. 2026, 7:46 a. m.",Error,41.99,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,2756,0.004409,12.15
"2 jun. 2026, 7:46 a. m.",Error,41.99,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,1337,0.007584,10.14
"2 jun. 2026, 7:46 a. m.",Error,41.99,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,1487,0.004882,7.26
"2 jun. 2026, 3:43 p. m.",Pagado,335.90,"TUASESOR 270526",Tuasesorrm,Conversaciones,85656,0.001852,158.60
"2 jun. 2026, 3:43 p. m.",Pagado,335.90,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,2848,0.006208,17.68
"2 jun. 2026, 3:43 p. m.",Pagado,335.90,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,15948,0.003550,56.62
"2 jun. 2026, 3:43 p. m.",Pagado,335.90,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,7847,0.004260,33.43
"2 jun. 2026, 3:43 p. m.",Pagado,335.90,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,16763,0.004150,69.57
"3 jun. 2026, 5:44 p. m.",Error,593.21,"AJUSTES TRÁFICO 030626",Tuasesorrm,Conversaciones,16316,0.000777,12.67
"3 jun. 2026, 5:44 p. m.",Error,593.21,"TUASESOR 270526",Tuasesorrm,Conversaciones,143028,0.001805,258.12
"3 jun. 2026, 5:44 p. m.",Error,593.21,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,13926,0.005578,77.68
"3 jun. 2026, 5:44 p. m.",Error,593.21,"Publicación de Instagram: �� ¡El epicentro...","Rossana Migliore (inferido)",Conversaciones,27558,0.003100,85.42
"3 jun. 2026, 5:44 p. m.",Error,593.21,"Publicación: ""¡El punto estratégico que tu negocio merece en...","Realtors RM",Conversaciones,3838,0.006365,24.43
"3 jun. 2026, 5:44 p. m.",Error,593.21,"Publicación: ""�� ¿BUSCAS EL LUGAR PERFECTO PARA TU NEGOCIO E...","Realtors RM",Conversaciones,16887,0.004672,78.89
"3 jun. 2026, 5:44 p. m.",Error,593.21,"Publicación: ""El Refugio que tu Familia Merece en Cumbres de...","Realtors RM",Conversaciones,12232,0.004578,56.00
"4 jun. 2026, 3:26 a. m.",Error,593.21,"AJUSTES TRÁFICO 030626",Tuasesorrm,Conversaciones,16316,0.000777,12.67
"4 jun. 2026, 3:26 a. m.",Error,593.21,"TUASESOR 270526",Tuasesorrm,Conversaciones,143028,0.001805,258.12
"4 jun. 2026, 3:26 a. m.",Error,593.21,"Publicación de Instagram: �� ¡Lujo, tecnología y...","Realtors RM",Conversaciones,13926,0.005578,77.68
"4 jun. 2026, 3:26 a. m.",Error,593.21,"Publicación de Instagram: �� ¡El epicentro...","Rossana Migliore (inferido)",Conversaciones,27558,0.003100,85.42
